date,1. open,2. high,3. low,4. close,5. volume
2025-08-08,174.0400,176.4800,170.5200,172.7600,68866692
2025-08-07,166.8350,175.7500,166.7000,172.4000,95448310
2025-08-06,165.0500,166.1800,157.8000,163.1200,133641835
2025-08-05,177.5650,177.9900,171.8000,174.3100,88808520
2025-08-04,174.6050,177.8600,173.5600,176.7800,52951044
2025-08-01,170.1600,174.4000,166.8200,171.7000,75396130
2025-07-31,182.0150,182.5000,173.0000,176.3100,71765285
2025-07-30,175.6050,180.3700,173.8000,179.5100,64820291
2025-07-29,175.2050,182.3100,174.6800,177.4400,108154838
2025-07-28,169.0800,174.7000,168.6700,173.6600,68267835
2025-07-25,163.5050,167.1750,162.3600,166.4700,53432260
2025-07-24,159.1200,163.9300,158.3600,162.1200,48440112
2025-07-23,156.3150,159.4485,156.0000,158.6500,41510896
2025-07-22,156.2000,156.2291,149.3400,154.7200,49028017
2025-07-21,157.6200,160.3400,156.9200,157.0000,39021130
2025-07-18,159.5900,160.8300,155.8100,156.9900,48859835
2025-07-17,161.8100,161.9600,158.6800,160.4100,50605117
2025-07-16,155.3100,160.3600,152.8500,160.0800,59492760
2025-07-15,153.7500,158.6800,153.5600,155.6100,93370081
2025-07-14,145.0900,147.5800,141.9000,146.2400,44718554
2025-07-11,142.6000,147.4000,141.6000,146.4200,50049179
2025-07-10,143.0000,145.8200,141.8500,144.1600,61101465
2025-07-09,138.6900,140.6500,137.5900,138.4100,37013130
2025-07-08,137.3200,139.1500,135.9100,137.8200,36124612
2025-07-07,136.5600,137.4400,133.5000,134.8000,37395010
2025-07-03,139.1100,139.5000,137.3200,137.9100,28645993
2025-07-02,135.5300,139.7800,135.2200,138.5200,39227986
2025-07-01,138.7700,140.2300,135.1202,136.1100,55257237
2025-06-30,144.0000,146.0000,141.0100,141.9000,42972468
2025-06-27,144.1800,147.7504,141.6300,143.8100,61937853
2025-06-26,145.9700,146.0000,141.9100,143.6800,58180081
2025-06-25,140.9400,144.1800,139.4600,143.4000,74607219
2025-06-24,133.4300,138.7900,132.9300,138.4300,78571997
2025-06-23,130.4700,133.2500,126.8200,129.5800,65152874
2025-06-20,129.0000,132.8050,127.5500,128.2400,79930980
2025-06-18,128.0100,129.2100,125.7700,126.7900,49627112
2025-06-17,127.9300,130.7000,126.5800,127.1000,86623910
2025-06-16,118.6350,128.1393,117.7800,126.3900,100968478
2025-06-13,116.0450,117.8830,115.0600,116.1600,39702742
2025-06-12,120.6150,122.2500,118.0300,118.5000,44718365
2025-06-11,124.4400,124.4700,119.8800,121.1400,32261863
2025-06-10,121.1050,124.0900,120.8000,123.2400,41691908
2025-06-09,119.1800,122.3699,119.0400,121.7300,55437652
2025-06-06,117.6850,118.3800,115.8800,116.1900,27042083
2025-06-05,118.9500,119.2448,114.7100,115.6900,34182902
2025-06-04,117.4100,119.2950,115.7300,118.5800,31024986
2025-06-03,114.5000,117.6800,113.2800,117.3100,37161484
2025-06-02,111.0600,114.8600,111.0100,114.6300,34078358
2025-05-30,111.5840,112.1100,108.6154,110.7300,36088472
2025-05-29,115.4850,115.5400,112.1300,113.0300,30572131
2025-05-28,114.9150,114.9480,112.6600,112.8600,27483741
2025-05-27,113.1750,115.3950,112.2700,114.5600,37885019
2025-05-23,108.0850,111.0150,107.6671,110.3100,30867274
2025-05-22,111.9000,112.6400,110.6100,110.7100,29251957
